CanonicalEnemyKey,EnemyName,Configuration,WeaponCategory,Source,Confidence,Notes
external-34-ii-handyman,34-II Handyman,unknown,UNKNOWN,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-22790,ottous,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-22804,t-droid,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-22821,omni slayer droid,unknown melee weapon,UNKNOWN_MELEE_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-229068,sl_bronto_mama,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-236598,guardian_of_shadows_loop,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-236599,guardian_of_shadows_idle2,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/classic-ao/encounter-guides-3/low-level-encounter/condemned-subway,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-236640,sl_redeemed_grunt,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-246449,vanguard,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-246862,omni-trans commander_female,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-246982,alien battlesuit hover,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247467,alien_battlesuit_hover_melee_ranged,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247468,alien_battlesuit_hover_melee,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247469,alien_battlesuit_hover_ranged,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247477,alien_battlesuit_hover_caster,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247728,alien_spider,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247740,alien_mini_bug,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247801,athleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247829,leetzilla,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247831,masculeet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247832,cheerleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247834,deleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247835,bruce leet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247836,invaleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247837,bulleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247838,violeet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247839,calculeet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-247880,alien_mini_bug_melee_ranged,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247881,alien_mini_bug_melee,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247882,alien_mini_bug_ranged,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-247883,alien_mini_bug_caster,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-249667,icc shuttle guard,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251772,alien_battlesuit_hover_melee_ranged_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251773,alien_battlesuit_hover_caster_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251774,alien_battlesuit_hover_melee_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251775,alien_battlesuit_hover_ranged_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251781,alien_mini_bug_melee_ranged_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251782,alien_mini_bug_melee_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251783,alien_mini_bug_ranged_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-251784,alien_mini_bug_caster_unrooted,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-252342,leetor,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-253588,alien defense drone,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-253599,alien defense turret,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254001,alien_battlesuit_hover_m_b,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254002,alien_battlesuit_hover_m_b_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254003,alien_battlesuit_hover_mr_b_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254006,alien_battlesuit_hover_r_b_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254008,alien_battlesuit_hover_c_b_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254035,alien_battlesuit_centaur_c_cp,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254118,icc shuttle guard-rooted,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254293,alien_mini_bug_ranged_black,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254294,alien_mini_bug_melee_black,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254295,alien_mini_bug_melee_ranged_b,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254296,alien_mini_bug_caster_black,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-254849,ai_mortiig predator_pet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-256062,vanguard node 19,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-256459,alien_mini_bug_melee_ranged_b_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-256461,alien_mini_bug_ranged_black_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-256462,alien_mini_bug_melee_black_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-256464,alien_mini_bug_caster_black_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-256518,ai_cutecreature_draculeet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-256519,ai_cutecreature_frankenleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-257283,alien coccoon,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-258174,rookie alien hunter,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-259982,giant sandworm,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-260034,alien signal tower,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-260229,alien bomb,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-260280,alien_mini_bug_melee_striped_u,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-26048,medusa,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-260844,sl_spirits_redeemed_male_kungfu,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-262088,solitus_male_shade,energy attack,ENERGY_ATTACK,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-262397,alien tentacle,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-262975,alien antibody,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-263810,alien wrench,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-267084,bursting nano soldier,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-267170,atrox enforcer male - special anims,unknown melee weapon,UNKNOWN_MELEE_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-267322,paolo turin,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-269393,iceberg monster,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-269727,iceberg monster - rising,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-273406,plate monster,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-275575,alien scoutship,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-276976,sick alien,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-277995,ai_cutecreature_frankenleet_pet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-277996,ai_cutecreature_draculeet_pet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-278790,slimy alien plant,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-278843,alien fighter ship,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-279066,alien jamming tower,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-279518,gingerleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-280206,alien devourer,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-280495,sl_spirits_redeemed_female_saveanim,mixed melee and nano,MIXED_MELEE_AND_NANO,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-281961,barleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-282037,bob marleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283873,hoverboard_b_chimera_solitus_male - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283900,hoverboard_b_chimera_solitus_female - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283901,hoverboard_b_chimera_atrox - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283907,hoverboard_b_chimera_opifex_male - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283908,hoverboard_b_chimera_opifex_female - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283909,hoverboard_b_chimera_solitus_male_robe - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283910,hoverboard_b_chimera_solitus_female_robe - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283911,hoverboard_b_chimera_atrox_robe - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283912,hoverboard_b_chimera_opifex_male_robe - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-283913,hoverboard_b_chimera_opifex_female_robe - 3 tricks,bite,BITE,https://wiki.aodb.us/wiki/Pandemonium,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-284637,reinleet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-28513,primitive medusa,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-285148,enigma dog toy,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-285468,cyborg soldier - female - one eye,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-288500,dancing cyborg doll a,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-288558,devileet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-289492,gift-wrapped leet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-290647,heckler_of_celebration,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-294110,zix-in-a-box,natural melee,NATURAL_MELEE,https://www.ao-universe.com/guides/alien-invasion/quests-guides/sector-10-alien-playfield,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-294111,elf leet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-294329,elf_leet_new,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-295565,atrox thin male brute - desmond,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-297228,henrys test leet,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-301639,inf_mission_2_spirit_totem,energy attack,ENERGY_ATTACK,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-30252,giant snake,bite,BITE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-30258,biofreak noskin,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-30346,bronto mama,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-30354,salamander,bite,BITE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-30360,minibull,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-30371,aquaan queen,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-30375,mutant mantis,claws,CLAWS,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-304767,alien bomb christmas,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-304794,alien christmas turret,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-304909,omni slayer droid tam,unknown melee weapon,UNKNOWN_MELEE_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-305587,nano_freak_2020 - guardian of the three,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-305611,deathless legion,unknown melee weapon,UNKNOWN_MELEE_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-31114,rhinoman female,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-31762,desert eremite,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Shadowlands_Missions,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-31907,bileswarm colossus,natural ranged,NATURAL_RANGED,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-31909,bileswarm worker,natural ranged,NATURAL_RANGED,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-32419,sewer snake,bite,BITE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-38383,enigma floatpot,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-38389,anun,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-38394,nanofreak,nano caster,NANO_CASTER,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-40063,rollerrat queen,bite,BITE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-40071,enigma dog,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-40075,blubbag,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-45872,enigma tree,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-45874,buzzsaw,natural melee,NATURAL_MELEE,https://wiki.aodb.us/wiki/Dyna_Camps_by_level,COMMUNITY_DOCUMENTED,Category-level evidence; no exact item-template mapping
rdb-1040023-55648,alienpod spider,alien natural attack,ALIEN_NATURAL_ATTACK,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-95384,rockmonster,natural melee,NATURAL_MELEE,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
rdb-1040023-96056,protocol droid,unknown ranged weapon,UNKNOWN_RANGED_WEAPON,RDB name correlation,INFERRED_CORRELATION,Category-level evidence; no exact item-template mapping
