"Playfield","PlayfieldName","WallSet","Segment","Start","End","DestinationPlayfield","DestinationPlayfieldName","DestinationIndex","Destination","Warnings"
"647","Greater Tir County","0","0","202.529,3164.28","202.19,1569.868","600","Varmint Woods","2","Destination Id: 0 StartCoords: 4401.13 22.25 1492.55 EndCoords: 4400.76 37.96 3082.30",""
"647","Greater Tir County","0","3","228.356,1547.168","521.956,1547.11","646","Tir County","40","","invalid destination index"
"647","Greater Tir County","0","4","521.956,1547.11","617.365,1482.168","646","Tir County","39","Destination Id: 0 StartCoords: 614.11 18.69 1479.59 EndCoords: 519.24 21.60 1544.70",""
"647","Greater Tir County","0","5","617.365,1482.168","683.443,1402.168","646","Tir County","38","Destination Id: 0 StartCoords: 679.24 15.22 1398.16 EndCoords: 614.11 18.69 1479.59",""
"647","Greater Tir County","0","6","683.443,1402.168","761.956,1328.164","646","Tir County","37","Destination Id: 0 StartCoords: 759.24 11.10 1326.40 EndCoords: 679.24 15.22 1398.16",""
"647","Greater Tir County","0","7","761.956,1328.164","961.956,1304.576","646","Tir County","36","Destination Id: 0 StartCoords: 959.24 11.32 1302.47 EndCoords: 759.24 11.10 1326.40",""
"647","Greater Tir County","0","8","961.956,1304.576","1121.956,1301.627","646","Tir County","35","Destination Id: 0 StartCoords: 1119.24 23.34 1298.62 EndCoords: 959.24 11.32 1302.47",""
"647","Greater Tir County","0","9","1121.956,1301.627","1281.956,1301.198","646","Tir County","34","Destination Id: 0 StartCoords: 1279.24 25.88 1296.44 EndCoords: 1119.24 23.34 1298.62",""
"647","Greater Tir County","0","10","1281.956,1301.198","1401.956,1304.333","646","Tir County","33","Destination Id: 0 StartCoords: 1399.24 27.75 1302.10 EndCoords: 1279.24 25.88 1296.44",""
"647","Greater Tir County","0","11","1401.956,1304.333","1481.956,1337.57","646","Tir County","32","Destination Id: 0 StartCoords: 1479.24 17.02 1335.08 EndCoords: 1399.24 27.75 1302.10",""
"647","Greater Tir County","0","12","1481.956,1337.57","1561.956,1393.611","646","Tir County","31","Destination Id: 0 StartCoords: 1559.24 13.80 1391.23 EndCoords: 1479.24 17.02 1335.08",""
"647","Greater Tir County","0","13","1561.956,1393.611","1601.956,1450.178","646","Tir County","30","Destination Id: 0 StartCoords: 1599.24 21.99 1448.83 EndCoords: 1559.24 13.80 1391.23",""
"647","Greater Tir County","0","14","1601.956,1450.178","1615.191,1522.168","646","Tir County","29","Destination Id: 0 StartCoords: 1613.77 17.95 1519.59 EndCoords: 1599.24 21.99 1448.83",""
"647","Greater Tir County","0","15","1615.191,1522.168","1641.956,1594.564","646","Tir County","28","Destination Id: 0 StartCoords: 1639.24 19.73 1591.40 EndCoords: 1613.77 17.95 1519.59",""
"647","Greater Tir County","0","16","1641.956,1594.564","1683.285,1642.168","646","Tir County","27","Destination Id: 0 StartCoords: 1681.30 23.42 1639.59 EndCoords: 1639.24 19.73 1591.40",""
"647","Greater Tir County","0","17","1683.285,1642.168","1748.199,1682.168","646","Tir County","26","Destination Id: 0 StartCoords: 1746.39 20.59 1679.59 EndCoords: 1681.30 23.42 1639.59",""
"647","Greater Tir County","0","18","1748.199,1682.168","1830.668,1722.168","646","Tir County","25","Destination Id: 0 StartCoords: 1828.55 15.00 1719.59 EndCoords: 1746.39 20.59 1679.59",""
"647","Greater Tir County","0","19","1830.668,1722.168","1940.917,1762.168","646","Tir County","24","Destination Id: 0 StartCoords: 1959.24 17.94 1738.74 EndCoords: 1828.55 15.00 1719.59",""
"647","Greater Tir County","0","20","1940.917,1762.168","2001.956,1739.269","646","Tir County","23","Destination Id: 0 StartCoords: 1999.24 17.23 1736.48 EndCoords: 1959.24 17.94 1738.74",""
"647","Greater Tir County","0","21","2001.956,1739.269","2081.956,1700.776","646","Tir County","22","Destination Id: 0 StartCoords: 2079.24 15.20 1698.19 EndCoords: 1999.24 17.23 1736.48",""
"647","Greater Tir County","0","22","2081.956,1700.776","2121.956,1630.964","646","Tir County","21","Destination Id: 0 StartCoords: 2119.24 15.00 1628.37 EndCoords: 2079.24 15.20 1698.19",""
"647","Greater Tir County","0","23","2121.956,1630.964","2183.065,1562.168","646","Tir County","20","Destination Id: 0 StartCoords: 2179.61 11.70 1559.59 EndCoords: 2119.24 15.00 1628.37",""
"647","Greater Tir County","0","24","2183.065,1562.168","2241.956,1527.947","646","Tir County","19","Destination Id: 0 StartCoords: 2239.24 13.85 1525.24 EndCoords: 2179.61 11.70 1559.59",""
"647","Greater Tir County","0","25","2241.956,1527.947","2321.956,1487.586","646","Tir County","18","Destination Id: 0 StartCoords: 2319.24 19.47 1485.07 EndCoords: 2239.24 13.85 1525.24",""
"647","Greater Tir County","0","26","2321.956,1487.586","2401.956,1452.472","646","Tir County","17","Destination Id: 0 StartCoords: 2399.24 16.80 1449.81 EndCoords: 2319.24 19.47 1485.07",""
"647","Greater Tir County","0","27","2401.956,1452.472","2542.359,1482.168","646","Tir County","16","Destination Id: 0 StartCoords: 2540.11 14.77 1479.59 EndCoords: 2399.24 16.80 1449.81",""
"647","Greater Tir County","0","28","2542.359,1482.168","2672.467,1442.168","646","Tir County","15","Destination Id: 0 StartCoords: 2668.71 16.91 1439.59 EndCoords: 2540.11 14.77 1479.59",""
"647","Greater Tir County","0","29","2672.467,1442.168","2764.152,1402.168","646","Tir County","14","Destination Id: 0 StartCoords: 2761.86 15.50 1399.59 EndCoords: 2668.71 16.91 1439.59",""
"647","Greater Tir County","0","30","2764.152,1402.168","2827.919,1362.168","646","Tir County","13","Destination Id: 0 StartCoords: 2824.57 16.40 1359.59 EndCoords: 2761.86 15.50 1399.59",""
"647","Greater Tir County","0","31","2827.919,1362.168","2903.645,1322.168","646","Tir County","12","Destination Id: 0 StartCoords: 2900.90 17.28 1319.59 EndCoords: 2824.57 16.40 1359.59",""
"647","Greater Tir County","0","32","2903.645,1322.168","2961.956,1302.872","646","Tir County","11","Destination Id: 0 StartCoords: 2959.24 17.42 1299.83 EndCoords: 2900.90 17.28 1319.59",""
"647","Greater Tir County","0","33","2961.956,1302.872","3028.908,1322.168","646","Tir County","10","Destination Id: 0 StartCoords: 3025.69 19.50 1319.59 EndCoords: 2959.24 17.42 1299.83",""
"647","Greater Tir County","0","34","3028.908,1322.168","3102.601,1362.168","646","Tir County","9","Destination Id: 0 StartCoords: 3099.22 17.41 1359.59 EndCoords: 3025.69 19.50 1319.59",""
"647","Greater Tir County","0","35","3102.601,1362.168","3201.956,1420.701","646","Tir County","8","Destination Id: 0 StartCoords: 3199.24 18.44 1417.46 EndCoords: 3099.22 17.41 1359.59",""
"647","Greater Tir County","0","36","3201.956,1420.701","3281.956,1459.469","646","Tir County","7","Destination Id: 0 StartCoords: 3263.08 17.13 1439.59 EndCoords: 3199.24 18.44 1417.46",""
"647","Greater Tir County","0","37","3281.956,1459.469","3325.305,1482.168","646","Tir County","6","Destination Id: 0 StartCoords: 3319.24 22.40 1486.20 EndCoords: 3263.08 17.13 1439.59",""
"647","Greater Tir County","0","38","3325.305,1482.168","3421.956,1485.05","646","Tir County","5","Destination Id: 0 StartCoords: 3419.24 20.62 1482.49 EndCoords: 3319.24 22.40 1486.20",""
"650","Upper Stret East Bank","0","0","201.428,202.554","2196.179,201.248","635","Stret East Bank","3","Destination Id: 0 StartCoords: 2168.24 46.96 3251.43 EndCoords: 201.05 0.60 3236.73",""
"650","Upper Stret East Bank","0","2","2200.033,244.05","2189.402,3020.559","590","Central Artery Valley","1","Destination Id: 0 StartCoords: 198.28 18.00 3022.85 EndCoords: 198.28 18.00 258.75",""
"650","Upper Stret East Bank","0","12","1944.233,3156.667","1840.247,3159.344","600","Varmint Woods","1","Destination Id: 0 StartCoords: 234.71 48.05 200.34 EndCoords: 356.17 43.73 200.70",""
"650","Upper Stret East Bank","0","23","1207.901,3149.456","200.01,3163.009","585","Aegean","4","Destination Id: 0 StartCoords: 1098.31 0.90 200.17 EndCoords: 2203.01 28.23 200.17",""
"650","Upper Stret East Bank","0","27","200.606,3108.225","201.088,241.325","790","Stret West Bank","1","Destination Id: 0 StartCoords: 2602.40 0.00 222.14 EndCoords: 2759.42 0.00 3469.90",""
"655","Andromeda","1","0","3392.5,207.407","3514.4,207.2","6550","Uturn Canyon","2","Destination Id: 0 StartCoords: 784.91 21.52 1380.06 EndCoords: 664.01 17.54 1380.06",""
"655","Andromeda","1","3","4930.314,1067.611","4933.049,2195.754","625","Milky Way","5","","invalid destination index"
"655","Andromeda","1","5","4870.318,2198.449","3992.182,2205.819","635","Stret East Bank","7","Destination Id: 0 StartCoords: 222.73 49.99 203.24 EndCoords: 1197.47 31.85 200.10",""
"655","Andromeda","1","9","3650.479,2844.08","1764.057,2844.557","760","4 Holes","3","Destination Id: 0 StartCoords: 204.69 2.57 199.60 EndCoords: 2140.15 0.79 203.54",""
"655","Andromeda","1","13","199.692,204.233","2763.452,193.419","670","Clondyke","4","Destination Id: 0 StartCoords: 2771.56 19.05 4519.55 EndCoords: 230.89 33.05 4527.73",""
"656","Coast of Tranquility","0","1","1600,100","1599.918,1240.519","556","Coast of Peace","4","Destination Id: 0 StartCoords: 1600.49 41.38 1240.38 EndCoords: 1600.00 4.25 100.00",""
"656","Coast of Tranquility","0","4","1649.867,1300.052","2541.23,1299.686","556","Coast of Peace","3","Destination Id: 0 StartCoords: 2541.44 38.40 1300.28 EndCoords: 1649.80 45.92 1300.21",""
"656","Coast of Tranquility","0","7","2600.055,1371.778","2600.064,2125.958","556","Coast of Peace","2","Destination Id: 0 StartCoords: 2596.42 21.64 2124.30 EndCoords: 2599.54 11.36 1373.69",""
"656","Coast of Tranquility","0","10","2514.891,2199.962","1938.258,2200","695","Lush Fields","12","","invalid destination index"
"656","Coast of Tranquility","0","12","1364.313,2200","222.054,2200","670","Clondyke","5","","invalid destination index"
"670","Clondyke","0","0","1564.779,233.209","2726.072,200.146","656","Coast of Tranquility","5","Destination Id: 0 StartCoords: 1364.31 43.68 2200.00 EndCoords: 222.05 35.21 2200.00",""
"670","Clondyke","0","24","2998.673,432.984","2995.723,2902.835","695","Lush Fields","6","Destination Id: 0 StartCoords: 203.99 14.81 2894.24 EndCoords: 203.99 18.84 446.24",""
"670","Clondyke","0","112","2771.561,4519.554","230.894,4527.728","655","Andromeda","1","Destination Id: 0 StartCoords: 199.69 15.45 204.23 EndCoords: 2763.45 0.00 193.42",""
"670","Clondyke","0","125","198.986,4365.526","197.869,3155.789","685","Galway County","4","Destination Id: 0 StartCoords: 2945.07 1.99 183.16 EndCoords: 2951.50 0.00 1572.08",""
"685","Galway County","0","2","2945.074,183.163","2951.499,1572.076","670","Clondyke","3","Destination Id: 0 StartCoords: 198.99 18.34 4365.53 EndCoords: 197.87 17.10 3155.79",""
"685","Galway County","0","131","366.812,2066.413","640,2061.981","687","Galway Shire","21","","invalid destination index"
"685","Galway County","0","132","640,2061.981","640,1861.981","687","Galway Shire","20","","invalid destination index"
"685","Galway County","0","133","640,1861.981","680,1788.258","687","Galway Shire","19","","invalid destination index"
"685","Galway County","0","134","680,1788.258","680,1661.981","687","Galway Shire","18","Destination Id: 0 StartCoords: 651.55 20.70 1683.05 EndCoords: 643.69 15.59 1803.05",""
"685","Galway County","0","135","680,1661.981","720,1617.316","687","Galway Shire","17","Destination Id: 0 StartCoords: 680.02 22.40 1644.14 EndCoords: 651.55 20.70 1683.05",""
"685","Galway County","0","136","720,1617.316","840,1461.981","687","Galway Shire","16","Destination Id: 0 StartCoords: 825.86 19.40 1483.05 EndCoords: 680.02 22.40 1644.14",""
"685","Galway County","0","137","840,1461.981","960,1301.981","687","Galway Shire","15","Destination Id: 0 StartCoords: 943.70 23.00 1323.05 EndCoords: 825.86 19.40 1483.05",""
"685","Galway County","0","138","960,1301.981","988.761,1280","687","Galway Shire","14","Destination Id: 0 StartCoords: 960.02 15.40 1302.72 EndCoords: 943.70 23.00 1323.05",""
"685","Galway County","0","139","988.761,1280","1000,1263.281","687","Galway Shire","13","Destination Id: 0 StartCoords: 966.91 15.40 1283.05 EndCoords: 960.02 15.40 1302.72",""
"685","Galway County","0","140","1000,1263.281","1000,1221.981","687","Galway Shire","12","Destination Id: 0 StartCoords: 972.33 15.41 1243.05 EndCoords: 966.91 15.40 1283.05",""
"685","Galway County","0","141","1000,1221.981","1000,1181.981","687","Galway Shire","11","Destination Id: 0 StartCoords: 982.66 15.40 1203.05 EndCoords: 972.33 15.41 1243.05",""
"685","Galway County","0","142","1000,1181.981","1040,1021.981","687","Galway Shire","10","Destination Id: 0 StartCoords: 997.49 15.80 1043.05 EndCoords: 982.66 15.40 1203.05",""
"685","Galway County","0","143","1040,1021.981","1040,861.981","687","Galway Shire","9","Destination Id: 0 StartCoords: 1004.59 21.70 883.05 EndCoords: 997.49 15.80 1043.05",""
"685","Galway County","0","144","1040,861.981","960,703.997","687","Galway Shire","8","Destination Id: 0 StartCoords: 921.93 21.70 723.05 EndCoords: 1004.59 21.70 883.05",""
"685","Galway County","0","145","960,703.997","760,421.981","687","Galway Shire","7","Destination Id: 0 StartCoords: 727.35 13.00 443.05 EndCoords: 921.93 21.70 723.05",""
"685","Galway County","0","146","760,421.981","680,261.981","687","Galway Shire","6","Destination Id: 0 StartCoords: 644.70 13.04 283.05 EndCoords: 727.35 13.00 443.05",""
"685","Galway County","0","147","680,261.981","668.711,183.686","687","Galway Shire","5","Destination Id: 0 StartCoords: 639.27 13.55 202.41 EndCoords: 644.70 13.04 283.05",""
"687","Galway Shire","0","5","639.27,202.41","644.703,283.05","685","Galway County","21","","null destination entry"
"687","Galway Shire","0","6","644.703,283.05","727.346,443.05","685","Galway County","20","","null destination entry"
"687","Galway Shire","0","7","727.346,443.05","921.929,723.05","685","Galway County","19","Destination Id: 0 StartCoords: 960.00 22.80 704.00 EndCoords: 760.00 21.91 421.98",""
"687","Galway Shire","0","8","921.929,723.05","1004.594,883.05","685","Galway County","18","Destination Id: 0 StartCoords: 1040.00 21.62 861.98 EndCoords: 960.00 22.80 704.00",""
"687","Galway Shire","0","9","1004.594,883.05","997.487,1043.05","685","Galway County","17","","null destination entry"
"687","Galway Shire","0","10","997.487,1043.05","982.659,1203.05","685","Galway County","16","","null destination entry"
"687","Galway Shire","0","11","982.659,1203.05","972.331,1243.05","685","Galway County","15","","null destination entry"
"687","Galway Shire","0","12","972.331,1243.05","966.911,1283.05","685","Galway County","14","","null destination entry"
"687","Galway Shire","0","13","966.911,1283.05","960.022,1302.724","685","Galway County","13","","null destination entry"
"687","Galway Shire","0","14","960.022,1302.724","943.698,1323.05","685","Galway County","12","Destination Id: 0 StartCoords: 960.00 42.66 1301.98 EndCoords: 988.76 39.71 1280.00",""
"687","Galway Shire","0","15","943.698,1323.05","825.862,1483.05","685","Galway County","11","Destination Id: 0 StartCoords: 840.00 19.57 1461.98 EndCoords: 960.00 42.66 1301.98",""
"687","Galway Shire","0","16","825.862,1483.05","680.022,1644.144","685","Galway County","10","Destination Id: 0 StartCoords: 720.00 20.01 1617.32 EndCoords: 840.00 19.57 1461.98",""
"687","Galway Shire","0","17","680.022,1644.144","651.545,1683.05","685","Galway County","9","Destination Id: 0 StartCoords: 680.00 21.66 1661.98 EndCoords: 720.00 20.01 1617.32",""
"687","Galway Shire","0","18","651.545,1683.05","643.69,1803.05","685","Galway County","8","","null destination entry"
"687","Galway Shire","0","19","643.69,1803.05","625.131,1883.05","685","Galway County","7","","null destination entry"
"687","Galway Shire","0","20","625.131,1883.05","611.79,2083.05","685","Galway County","6","","null destination entry"
"687","Galway Shire","0","21","611.79,2083.05","330.821,2089.844","685","Galway County","5","Destination Id: 0 StartCoords: 366.81 3.62 2066.41 EndCoords: 640.00 21.80 2061.98",""
"687","Galway Shire","0","84","158.856,928.392","159.034,921.885","735","Rome Blue","9","Destination Id: 0 StartCoords: 749.61 17.80 358.87 EndCoords: 749.59 17.80 365.30",""
"687","Galway Shire","0","86","159.299,832.394","158.822,825.882","735","Rome Blue","7","Destination Id: 0 StartCoords: 749.39 17.70 262.82 EndCoords: 749.70 17.80 269.38",""
"695","Lush Fields","0","0","515.988,200","1102.895,198.367","656","Coast of Tranquility","1","Destination Id: 0 StartCoords: 2514.89 21.95 2199.96 EndCoords: 1938.26 45.81 2200.00",""
"695","Lush Fields","0","2","1192.64,197.492","3702.788,195.944","556","Coast of Peace","1","Destination Id: 0 StartCoords: 5200.00 32.26 2200.00 EndCoords: 2600.00 23.40 2200.00",""
"695","Lush Fields","0","18","3584.988,905.144","3584.988,910.644","710","Omni-1 Trade","1","Destination Id: 0 StartCoords: 216.00 7.50 385.00 EndCoords: 216.00 7.50 379.00",""
"695","Lush Fields","0","21","3803.988,1150.944","3803.988,3555.944","630","Pleasant Meadows","4","Destination Id: 0 StartCoords: 200.00 10.96 2681.80 EndCoords: 200.00 9.90 274.00",""
"695","Lush Fields","0","37","3481.188,3795.944","1994.388,3795.944","625","Milky Way","4","Destination Id: 0 StartCoords: 239.00 9.68 200.00 EndCoords: 1554.50 24.11 200.00",""
"695","Lush Fields","0","141","203.988,2894.244","203.988,446.244","670","Clondyke","2","Destination Id: 0 StartCoords: 2998.67 27.29 432.98 EndCoords: 2995.72 2.67 2902.84",""
"695","Lush Fields","1","0","2202,953","2202,2230.6","696","Mutant Domain","4","Destination Id: 0 StartCoords: 202.00 18.74 1550.60 EndCoords: 202.00 37.55 273.00",""
"695","Lush Fields","1","8","2205.2,2302","3140.4,2302","696","Mutant Domain","3","Destination Id: 0 StartCoords: 1140.40 10.56 1622.00 EndCoords: 205.20 9.94 1622.00",""
"695","Lush Fields","1","16","3162,2229.8","3162,971.9","696","Mutant Domain","2","Destination Id: 0 StartCoords: 1162.00 1.50 291.90 EndCoords: 1162.00 14.73 1549.70",""
"695","Lush Fields","1","24","3126.7,902","2279.2,902","696","Mutant Domain","1","Destination Id: 0 StartCoords: 279.30 20.77 222.00 EndCoords: 1126.70 2.44 222.00",""
"696","Mutant Domain","0","0","279.3,222","1126.7,222","695","Lush Fields","10","Destination Id: 0 StartCoords: 3126.70 2.44 902.00 EndCoords: 2279.20 20.76 902.00",""
"696","Mutant Domain","0","10","1162,291.9","1162,1549.7","695","Lush Fields","9","Destination Id: 0 StartCoords: 3162.00 14.72 2229.80 EndCoords: 3162.00 1.50 971.90",""
"696","Mutant Domain","0","23","1140.4,1622","205.2,1622","695","Lush Fields","8","Destination Id: 0 StartCoords: 2205.20 9.94 2302.00 EndCoords: 3140.40 10.56 2302.00",""
"696","Mutant Domain","0","32","202,1550.6","202,273","695","Lush Fields","7","Destination Id: 0 StartCoords: 2202.00 37.55 953.00 EndCoords: 2202.00 18.74 2230.60",""
"700","Omni1-HEADQUARTER","0","6","691.356,418.574","691.296,423.484","705","Omni1 Entertainment","4","Destination Id: 0 StartCoords: 226.00 17.50 584.00 EndCoords: 226.00 17.50 572.00",""
"700","Omni1-HEADQUARTER","0","16","514.162,420.897","514.149,415.892","710","Omni-1 Trade","2","Destination Id: 0 StartCoords: 592.00 7.50 379.00 EndCoords: 592.00 7.50 385.00",""
"705","Omni1 Entertainment","0","6","1015,505","1015,511","716","Omni Forest","6","Destination Id: 0 StartCoords: 209.68 10.67 2308.20 EndCoords: 209.57 10.80 2303.30",""
"705","Omni1 Entertainment","0","10","1015,649","1015,655","716","Omni Forest","4","Destination Id: 0 StartCoords: 212.32 10.80 2452.10 EndCoords: 212.10 10.80 2447.50",""
"705","Omni1 Entertainment","0","20","226,584","226,572","700","Omni1-HEADQUARTER","2","Destination Id: 0 StartCoords: 691.36 21.50 418.57 EndCoords: 691.30 21.40 423.48",""
"705","Omni1 Entertainment","2","0","580.356,620.016","584.149,620.05","706","Omni Entertainment Arena","1","Destination Id: 0 StartCoords: 184.30 16.40 259.98 EndCoords: 180.48 16.40 260.01",""
"705","Omni1 Entertainment","2","4","623.957,579.696","624.054,575.814","706","Omni Entertainment Arena","3","Destination Id: 0 StartCoords: 224.07 16.40 215.82 EndCoords: 224.09 16.40 219.69",""
"705","Omni1 Entertainment","2","8","583.656,536.132","579.849,536.156","706","Omni Entertainment Arena","4","","invalid destination index"
"705","Omni1 Entertainment","2","12","539.91,576.113","539.911,579.968","706","Omni Entertainment Arena","2","Destination Id: 0 StartCoords: 140.34 16.40 220.10 EndCoords: 140.06 16.40 215.94",""
"706","Omni Entertainment Arena","1","0","224.068,215.823","224.094,219.694","705","Omni1 Entertainment","32","Destination Id: 0 StartCoords: 623.96 20.40 579.70 EndCoords: 624.05 20.40 575.81",""
"706","Omni Entertainment Arena","1","4","184.304,259.982","180.476,260.013","705","Omni1 Entertainment","31","Destination Id: 0 StartCoords: 580.36 16.37 620.02 EndCoords: 584.15 16.37 620.05",""
"706","Omni Entertainment Arena","1","8","140.339,220.098","140.057,215.937","705","Omni1 Entertainment","34","","invalid destination index"
"706","Omni Entertainment Arena","1","12","179.911,175.953","183.913,176.039","705","Omni1 Entertainment","33","Destination Id: 0 StartCoords: 583.66 20.40 536.13 EndCoords: 579.85 20.40 536.16",""
"710","Omni-1 Trade","0","2","592,379","592,385","700","Omni1-HEADQUARTER","1","Destination Id: 0 StartCoords: 514.16 21.40 420.90 EndCoords: 514.15 21.30 415.89",""
"710","Omni-1 Trade","0","6","216,385","216,379","695","Lush Fields","3","Destination Id: 0 StartCoords: 3584.99 11.70 905.14 EndCoords: 3584.99 11.70 910.64",""
"716","Omni Forest","0","0","212.322,2452.1","212.1,2447.5","705","Omni1 Entertainment","2","Destination Id: 0 StartCoords: 1015.00 17.00 649.00 EndCoords: 1015.00 17.00 655.00",""
"716","Omni Forest","1","0","209.677,2308.2","209.572,2303.3","705","Omni1 Entertainment","1","Destination Id: 0 StartCoords: 1015.00 17.00 505.00 EndCoords: 1015.00 17.00 511.00",""
"716","Omni Forest","5","3","906.3,201.5","901.227,520","717","Greater Omni Forest","43","Destination Id: 0 StartCoords: 897.25 0.00 520.00 EndCoords: 906.30 0.00 201.50",""
"716","Omni Forest","5","4","901.227,520","915.555,680","717","Greater Omni Forest","42","Destination Id: 0 StartCoords: 915.14 0.36 680.00 EndCoords: 897.25 0.00 520.00",""
"716","Omni Forest","5","5","915.555,680","920,741.424","717","Greater Omni Forest","41","Destination Id: 0 StartCoords: 920.00 3.29 741.74 EndCoords: 915.14 0.36 680.00",""
"716","Omni Forest","5","6","920,741.424","880,808.304","717","Greater Omni Forest","40","Destination Id: 0 StartCoords: 871.78 1.54 800.00 EndCoords: 920.00 3.29 741.74",""
"716","Omni Forest","5","7","880,808.304","858.267,840","717","Greater Omni Forest","39","Destination Id: 0 StartCoords: 859.18 3.64 840.00 EndCoords: 871.78 1.54 800.00",""
"716","Omni Forest","5","8","858.267,840","831.816,880","717","Greater Omni Forest","38","Destination Id: 0 StartCoords: 831.93 10.42 880.00 EndCoords: 859.18 3.64 840.00",""
"716","Omni Forest","5","9","831.816,880","781.531,920","717","Greater Omni Forest","37","Destination Id: 0 StartCoords: 781.30 25.63 920.00 EndCoords: 831.93 10.42 880.00",""
"716","Omni Forest","5","10","781.531,920","760,933.339","717","Greater Omni Forest","36","Destination Id: 0 StartCoords: 760.00 17.19 932.70 EndCoords: 781.30 25.63 920.00",""
"716","Omni Forest","5","11","760,933.339","760,963.309","717","Greater Omni Forest","35","Destination Id: 0 StartCoords: 756.03 22.81 960.00 EndCoords: 760.00 17.19 932.70",""
"716","Omni Forest","5","12","760,963.309","760,1058.934","717","Greater Omni Forest","34","Destination Id: 0 StartCoords: 760.00 11.11 1058.97 EndCoords: 756.03 22.81 960.00",""
"716","Omni Forest","5","13","760,1058.934","760,1167.838","717","Greater Omni Forest","33","Destination Id: 0 StartCoords: 760.00 23.40 1167.11 EndCoords: 760.00 11.11 1058.97",""
"716","Omni Forest","5","14","760,1167.838","760,1276.756","717","Greater Omni Forest","32","Destination Id: 0 StartCoords: 760.00 20.45 1276.42 EndCoords: 760.00 23.40 1167.11",""
"716","Omni Forest","5","15","760,1276.756","791.261,1360","717","Greater Omni Forest","31","Destination Id: 0 StartCoords: 791.01 19.28 1360.00 EndCoords: 760.00 20.45 1276.42",""
"716","Omni Forest","5","16","791.261,1360","818.707,1440","717","Greater Omni Forest","30","Destination Id: 0 StartCoords: 819.31 12.96 1440.00 EndCoords: 791.01 19.28 1360.00",""
"716","Omni Forest","5","17","818.707,1440","840,1485.17","717","Greater Omni Forest","29","Destination Id: 0 StartCoords: 840.00 15.09 1484.19 EndCoords: 819.31 12.96 1440.00",""
"716","Omni Forest","5","18","840,1485.17","840,1543.466","717","Greater Omni Forest","28","Destination Id: 0 StartCoords: 840.00 18.60 1543.27 EndCoords: 840.00 15.09 1484.19",""
"716","Omni Forest","5","19","840,1543.466","840,1620.895","717","Greater Omni Forest","27","Destination Id: 0 StartCoords: 840.00 21.00 1621.18 EndCoords: 840.00 18.60 1543.27",""
"716","Omni Forest","5","20","840,1620.895","819.327,1680","717","Greater Omni Forest","26","Destination Id: 0 StartCoords: 819.22 20.26 1680.00 EndCoords: 840.00 21.00 1621.18",""
"716","Omni Forest","5","21","819.327,1680","840,1749.691","717","Greater Omni Forest","25","Destination Id: 0 StartCoords: 840.00 22.09 1749.47 EndCoords: 819.22 20.26 1680.00",""
"716","Omni Forest","5","22","840,1749.691","873.016,1800","717","Greater Omni Forest","24","Destination Id: 0 StartCoords: 871.98 26.98 1800.00 EndCoords: 840.00 22.09 1749.47",""
"716","Omni Forest","5","23","873.016,1800","912.741,1880","717","Greater Omni Forest","23","Destination Id: 0 StartCoords: 911.92 19.59 1880.00 EndCoords: 871.98 26.98 1800.00",""
"716","Omni Forest","5","24","912.741,1880","920,2010.026","717","Greater Omni Forest","22","Destination Id: 0 StartCoords: 920.00 17.78 2010.04 EndCoords: 911.92 19.59 1880.00",""
"716","Omni Forest","5","25","920,2010.026","939.671,2200","717","Greater Omni Forest","21","Destination Id: 0 StartCoords: 938.39 16.98 2200.00 EndCoords: 920.00 17.78 2010.04",""
"716","Omni Forest","5","26","939.671,2200","960,2352.469","717","Greater Omni Forest","20","Destination Id: 0 StartCoords: 951.77 33.70 2360.00 EndCoords: 938.39 16.98 2200.00",""
"716","Omni Forest","5","27","960,2352.469","942.145,2440","717","Greater Omni Forest","19","Destination Id: 0 StartCoords: 941.85 34.00 2440.00 EndCoords: 951.77 33.70 2360.00",""
"716","Omni Forest","5","28","942.145,2440","930.035,2480","717","Greater Omni Forest","18","Destination Id: 0 StartCoords: 929.85 31.16 2480.00 EndCoords: 941.85 34.00 2440.00",""
"716","Omni Forest","5","29","930.035,2480","938.865,2560","717","Greater Omni Forest","17","Destination Id: 0 StartCoords: 920.00 11.81 2578.20 EndCoords: 929.85 31.16 2480.00",""
"716","Omni Forest","5","30","938.865,2560","912.593,2640","717","Greater Omni Forest","16","Destination Id: 0 StartCoords: 912.24 6.38 2640.00 EndCoords: 920.00 11.81 2578.20",""
"716","Omni Forest","5","31","912.593,2640","914.48,2680","717","Greater Omni Forest","15","Destination Id: 0 StartCoords: 914.79 22.42 2680.00 EndCoords: 912.24 6.38 2640.00",""
"716","Omni Forest","5","32","914.48,2680","946.282,2720","717","Greater Omni Forest","14","Destination Id: 0 StartCoords: 945.82 24.02 2720.00 EndCoords: 914.79 22.42 2680.00",""
"716","Omni Forest","5","33","946.282,2720","960,2785.887","717","Greater Omni Forest","13","Destination Id: 0 StartCoords: 960.00 21.79 2785.61 EndCoords: 945.82 24.02 2720.00",""
"716","Omni Forest","5","34","960,2785.887","930.607,2840","717","Greater Omni Forest","12","Destination Id: 0 StartCoords: 929.12 28.75 2840.00 EndCoords: 960.00 21.79 2785.61",""
"716","Omni Forest","5","35","930.607,2840","944.015,2880","717","Greater Omni Forest","11","Destination Id: 0 StartCoords: 935.80 34.59 2880.00 EndCoords: 929.12 28.75 2840.00",""
